customer_id,name,email,location
1,John Chavez,colton88@yahoo.com,Davidview
2,Kristina Joseph DVM,joseph24@gmail.com,South Jasonfurt
3,Francis Diaz,victoria74@gmail.com,Jamieshire
4,Helen Liu,dalefreeman@yahoo.com,Gordonmouth
5,Craig Colon,leejoe@gmail.com,Garyton
6,Anthony Garcia,rodneybuck@gmail.com,Gavinville
7,Jessica Taylor,amydyer@white.com,New Melvinville
8,Carlos Harris,matthew71@gmail.com,North Janice
9,Tami Brown,jamespotter@hotmail.com,Sparksshire
10,Patricia Moore,kendragonzalez@sanchez.com,Schmidtfort
